Year,Month,Date (mm/dd/yyyy), Amount ,Category (Select),Subcategory (Select),Store,Credit Card,Comments,,,
2019,August,8/09/19, $88.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/09/19, $10.44 ,Fixed,Groceries,BC Liquour Store,1095,,,,
2019,August,8/10/19, $65.81 ,Mindful Spending,Restaurant,Yolks,1095,,,,
2019,August,8/11/19, $51.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/12/19, $11.77 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/15/19, $27.52 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/16/19, $7.90 ,Mindful Spending,Restaurant,Donair Town,1095,,,,
2019,August,8/17/19, $56.12 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2019,August,8/20/19, $9.45 ,Mindful Spending,Restaurant,Grand Noodle Emporium,1095,,,,
2019,August,8/20/19, $9.18 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/20/19, $30.06 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/22/19, $55.74 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/23/19, $14.15 ,Mindful Spending,Other,Shoppers Drug Mart,1095,,,,
2019,August,8/25/19, $12.30 ,Mindful Spending,Other,Squamish Valley Gas Bar,1095,,,,
2019,August,8/25/19, $15.75 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/26/19, $30.98 ,Mindful Spending,Other,Staples,1095,,,,
2019,August,8/27/19, $29.76 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/29/19, $105.00 ,Mindful Spending,Other,Student Recreation Center,1095,,,,
2019,August,8/29/19, $4.01 ,Mindful Spending,Restaurant,UBC Food Services,1095,,,,
2019,August,8/30/19, $64.89 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/01/19, $24.48 ,Mindful Spending,Other,Staples,1095,,,,
2019,September,9/04/19, $60.00 ,Mindful Spending,Other,UBC Bookstore,1095,,,,
2019,September,9/06/19, $21.16 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/07/19, $85.05 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/14/19, $65.02 ,Fixed,Phone,FIDO Mobile,1095,,,,
2019,September,9/14/19, $69.28 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/17/19, $23.64 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/19/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,Credit Card Cut,,,
2019,September,9/20/19, $11.00 ,Mindful Spending,Restaurant,UBC Corner Store,1095,,,,
2019,September,9/21/19, $104.88 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,September,9/28/19, $84.23 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/01/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
